Shape,Year,Site_Name,Name,Nest_ID,POINT_X,POINT_Y,Nest,Develop,Jetty,Saltmarsh,Elevation,Development,Dune,Bay,Mudflat,Inlet
Point,2012,Sandy Hook - Coast Guard,SHCG01-1,2012SHCG01-1,627794.678,599224.841,1,0,5448.39607,9971.251414,7.640175,1565.420053,60.008723,1066.238762,137406.308,87.276448
Point,2012,Sandy Hook - North Beach,SHNB01-1,2012SHNB01-1,630693.115,599111.1803,1,0,5138.761894,9419.780799,11.232616,2237.939492,185.037993,3927.700734,137607.7703,1639.836749
Point,2012,Sandy Hook - North Beach,SHNB02-1,2012SHNB02-1,630941.9141,597931.4018,1,0,4067.753332,8243.041225,6.910348,1527.574718,70.462591,3088.467022,136466.5085,2585.609488
Point,2012,Sandy Hook - North Beach,SHNB03-1,2012SHNB03-1,630394.5335,599389.0005,1,0,5358.890004,9702.930397,3.683467,2366.775612,125.224727,3660.862199,137848.4988,1361.060832
Point,2012,Sandy Hook - North Beach,SHNB04-1,2012SHNB04-1,629779.6221,600070.3125,1,0,5984.889629,10421.12619,-0.684418,2914.534688,618.767827,3092.564749,138455.2082,623.476325
Point,2012,Sandy Hook - North Beach,SHNB05-1,2012SHNB05-1,629673.8057,599372.5173,1,0,5285.078387,9737.129742,2.702271,2212.264904,67.357744,2939.974239,137749.9652,805.524321
Point,2012,Sandy Hook - North Beach,SHNB06-1,2012SHNB06-1,630353.3365,599153.3686,1,0,5119.769743,9468.924573,3.514274,2131.488532,50.687568,3623.780246,137609.6717,1516.103552
Point,2012,Sandy Hook - North Gunnison,SHNG01-1,2012SHNG01-1,633155.4477,595593.9723,1,0,3846.573347,6386.397237,2.733672,2587.409553,158.439501,3851.934404,134438.8923,5418.523893
Point,2012,Sandy Hook - North Gunnison,SHNG02-1,2012SHNG02-1,633688.3522,593913.6016,1,0,4064.709419,5139.927492,6.316744,1416.936517,0,4079.193535,132851.9142,7181.364771
Point,2012,Sandy Hook - North Gunnison,SHNG03-1,2012SHNG03-1,633257.1,595396.8152,1,0,3868.755875,6245.283541,3.722272,2489.5831,106.240661,3874.722586,134257.9772,5637.425127
Point,2012,Sandy Hook - South Gunnison,SHSG01-1,2012SHSG01-1,635359.1394,590126.7525,1,0,3267.321849,3882.005746,5.234299,3710.666143,186.91912,3280.823837,129367.7966,11305.68264
